#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L107-S589      1730.223  1298.245  15.813   0.013 1.18000    8.749450  16.245   0.517   0.659   0.340  69  56  66  48
  L107-S596      1937.269  1479.852  14.906   0.006 1.18000    8.749450  15.332   0.777   0.877   0.426  71  56  66  48
  L107-S609      1599.329  1783.305  15.457   0.010 1.18000    8.749450  15.901   0.693   0.843   0.426  67  53  62  47
  L107-S630      1930.842  2060.607  15.913   0.014 1.18000    8.749450  16.364   0.706   0.844   0.417  62  47  57  46
  L107-S632      1677.125  2073.616  16.629   0.025 1.18000    8.749450  17.126   0.829   0.962   0.458  63  48  58  47
  L107-S639       632.608  2116.750  14.676   0.005 1.18000    8.749450  15.109   0.734   0.862   0.431  61  50  58  45
  L107-S661      1966.326  2397.121  16.801   0.030 1.18000    8.749450  17.197   0.829   0.998   0.477  52  38  49  37
  L107-S680       793.960  2580.966  16.803   0.029 1.18000    8.749450  17.282   0.692   0.844   0.424  53  40  49  37
c L107-S682      1232.828  2585.374  15.808   0.013 1.18000    8.749450  16.280   0.710   0.890   0.436  54  41  50  37
  L107-S693      1086.262  2746.784  16.777   0.029 1.18000    8.749450  17.299   0.672   0.830   0.413  52  39  47  37
  L107-S698      1542.152  2798.761  17.084   0.038 1.18000    8.749450  17.563   1.223   1.469   0.644  45  33  39  31
  L107-S716      1251.346  2988.306  17.046   0.037 1.18000    8.749450  17.520   1.033   1.278   0.584  47  37  38  33
  L107-S725      1960.698  3182.125  16.741   0.029 1.18000    8.749450  17.268   0.772   0.896   0.432  44  34  32  30
  L107-S736        53.351  3287.629  16.992   0.034 1.18000    8.749450  17.428   0.604   0.778   0.413  43  36  37  31
  L107-S742      1210.596  3367.023  16.627   0.026 1.18000    8.749450  17.112   0.706   0.851   0.428  45  37  38  33
  L107-S745      1550.725  3403.626  17.060   0.038 1.18000    8.749450  17.458   0.921   1.128   0.542  38  29  34  30
  L107-S755      1087.852  3558.251  14.065   0.003 1.18000    8.749450  14.496   0.811   0.870   0.412  44  36  38  32
  L107-S758      1826.487  3582.218  16.900   0.031 1.18000    8.749450  17.341   0.714   0.871   0.423  41  33  33  29
  L107-S766      1091.362  3610.526  17.180   0.040 1.18000    8.749450  17.660   0.725   0.884   0.439  44  36  37  32
  L107-S779       290.145  3748.181  15.945   0.014 1.18000    8.749450  16.404   0.534   0.705   0.371  44  35  38  31
  L107-S782       863.027  3790.668  15.440   0.010 1.18000    8.749450  15.885   0.660   0.803   0.411  43  35  36  31
  L107-S783       281.294  3800.827  16.814   0.031 1.18000    8.749450  17.215   0.675   0.818   0.419  42  33  36  27
  L107-S785      1234.934  3885.271  16.364   0.019 1.18000    8.749450  16.813   0.676   0.797   0.392  38  28  30  24
